Type,SKU,Name,Published,In stock?,Stock,Regular price,Tax status,Tax class,Categories,Description,Meta: _sp_regulation
simple,0309973103061,Revlon Kiss Lip Creme Blush,0,0,0,0.69,taxable,,Beauty,Revlon Kiss Lip Creme Blush. A health and beauty product.,No regulation
simple,5050895239479,Zazie Nail Clippers,0,0,0,0.69,taxable,,Beauty,Zazie Nail Clippers. A health and beauty product.,No regulation
simple,50658053,Halls Sugar Free Cherry Menthol Action 32g,0,0,0,0.59,taxable,,General Health,Halls Sugar Free Cherry Menthol Action 32g. A health and wellbeing product. Supplied as 32g.,No regulation
simple,40099361,Extra Peppermint Gum 14g,0,0,0,0.59,taxable,reduced-rate,Oral Care,Extra Peppermint Gum 14g. An oral care product. Supplied as 14g.,No regulation
simple,5017353502889,Galpharm Ibuprofen 200mg 16 Caplets,0,0,0,0.59,taxable,,Pain Relief,"Galpharm Ibuprofen 200mg 16 Caplets. Always read the label and any leaflet supplied. If symptoms persist, speak to your pharmacist or doctor. Supplied as 200mg.",GSL
simple,50159086,Lockets Honey & Lemon 41g,0,0,0,0.59,taxable,,General Health,Lockets Honey & Lemon 41g. A health and wellbeing product. Supplied as 41g.,No regulation
simple,5010441030998,Numark Dispersible Aspirin 75mg 28 Tablets,0,0,0,0.59,taxable,,Pain Relief,"Numark Dispersible Aspirin 75mg 28 Tablets. Prescription-only medicine, supplied after an online consultation with our pharmacist. Always read the label and any leaflet supplied. If symptoms persist, speak to your pharmacist or doctor. Supplied as 28 Tablets.",P
simple,5029115011126,A+E Assorted Clear Washproof Plasters 20 Pack,0,0,0,0.59,taxable,,First Aid,"A+E Assorted Clear Washproof Plasters 20 Pack. Always read the label and any leaflet supplied. If symptoms persist, speak to your pharmacist or doctor. Supplied as 20 Pack.",No regulation
simple,5014749180775,CS Beauty 4 Way Nail Buffer Block,0,0,0,0.59,taxable,,Beauty,CS Beauty 4 Way Nail Buffer Block. A health and beauty product.,No regulation
simple,5391533383094,Kit Kaboodle Tear-Off Sponges,0,0,0,0.59,taxable,,General Health,Kit Kaboodle Tear-Off Sponges. A health and wellbeing product.,No regulation
simple,5031413921861,Quest Washable Face Covering 3 Pack,0,0,0,0.59,taxable,,Skincare,Quest Washable Face Covering 3 Pack. A skincare product. Supplied as 3 Pack.,No regulation
simple,5031413921915,Washable Face Covering 1 Pack,0,0,0,0.59,taxable,,Skincare,Washable Face Covering 1 Pack. A skincare product. Supplied as 1 Pack.,No regulation
simple,8001841559094,Aussie Shot SOS Moisture 25ml,0,0,0,0.49,taxable,,Skincare,Aussie Shot SOS Moisture 25ml. A skincare product. Supplied as 25ml.,No regulation
simple,5050895242103,Zazie Eyebrow Tweezers,0,0,0,0.49,taxable,,General Health,Zazie Eyebrow Tweezers. A health and wellbeing product.,No regulation
simple,5014749830915,CS Beauty Nit Comb 2 Pack,0,0,0,0.49,taxable,,General Health,CS Beauty Nit Comb 2 Pack. A health and wellbeing product. Supplied as 2 Pack.,No regulation
simple,50375301,Kleenex Balsam Pocket Tissues,0,0,0,0.45,taxable,,General Health,Kleenex Balsam Pocket Tissues. A health and wellbeing product.,No regulation
simple,5060130443196,Clinell Antimicrobial Hand Wipe Sachet 1 Wipe,0,0,0,0.19,taxable,,Vitamins,Clinell Antimicrobial Hand Wipe Sachet 1 Wipe. A vitamins and supplements product. Supplied as 1 Wipe.,No regulation
simple,5011842112030,Bassetts 12-18 Multivitamins Omega 3 30 Gummies,0,0,0,,taxable,,Vitamins,Bassetts 12-18 Multivitamins Omega 3 30 Gummies. A vitamins and supplements product. Supplied as 30 Gummies.,No regulation
simple,5010441000083,Numark Antihistamine 28 Tablets,0,0,0,,taxable,,Prescription Medicines,"Numark Antihistamine 28 Tablets. Prescription-only medicine, supplied after an online consultation with our pharmacist. Always read the label and any leaflet supplied. If symptoms persist, speak to your pharmacist or doctor. Supplied as 28 Tablets.",P
simple,8720181222467,DOVE CARE NATURE 225ML S/GEL IN AVOCADO,0,0,0,,taxable,,Skincare,DOVE CARE NATURE 225ML S/GEL IN AVOCADO. A skincare product. Supplied as 225ML.,No regulation
simple,0894147000821,Sliquid Organics Natural Gel Thick Lubricant-125ml,0,0,0,,taxable,,Sexual Wellness,"Sliquid Organics Natural Gel Thick Lubricant-125ml. Always read the label and any leaflet supplied. If symptoms persist, speak to your pharmacist or doctor. Supplied as 125ml.",No regulation
simple,5036631008110,Forceval 90 Capsules,0,0,0,,taxable,,Prescription Medicines,"Forceval 90 Capsules. Prescription-only medicine, supplied after an online consultation with our pharmacist. Always read the label and any leaflet supplied. If symptoms persist, speak to your pharmacist or doctor. Supplied as 90 Capsules.",P
simple,4042809016963,WRIST BRACE R ACTIMOVE 7281950 EXLGE,0,0,0,,taxable,,Supports & Braces,WRIST BRACE R ACTIMOVE 7281950 EXLGE. A support and mobility product.,No regulation
simple,8006540893524,Oral-B Refills C/Action Blk X-Filaments 4,0,0,0,,taxable,,Oral Care,Oral-B Refills C/Action Blk X-Filaments 4. An oral care product.,No regulation
simple,0878941003073,Trace Mineral Liquid Ionic Iodine Drops,0,0,0,,taxable,,Vitamins,Trace Mineral Liquid Ionic Iodine Drops. A vitamins and supplements product.,No regulation
simple,8809598455320,Cosrx - Pure Fit Cica Cream - Soothing Cream for Sensitive Skin - 50ml,0,0,0,,taxable,,Skincare,Cosrx - Pure Fit Cica Cream - Soothing Cream for Sensitive Skin - 50ml. A skincare product. Supplied as 50ml.,No regulation
simple,7317400026084,TEPE ORTHO KIT (1),0,0,0,,taxable,,Oral Care,TEPE ORTHO KIT (1). An oral care product.,No regulation
simple,8435465324149,BTB Water Based Cool Feeling Lubricant 250ml,0,0,0,,taxable,,Sexual Wellness,"BTB Water Based Cool Feeling Lubricant 250ml. Always read the label and any leaflet supplied. If symptoms persist, speak to your pharmacist or doctor. Supplied as 250ml.",No regulation
simple,5050375119666,Masterplast 70g Heat Massage Cream,0,0,0,,taxable,,Skincare,Masterplast 70g Heat Massage Cream. A skincare product. Supplied as 70g.,No regulation
simple,5012583211860,Got2B Volumania Hairspray 300ml,0,0,0,,taxable,,Hair Care,Got2B Volumania Hairspray 300ml. A hair care product. Supplied as 300ml.,No regulation
simple,3574660239010,CAREFREE BREATHABLE ALOE LINERS 20,0,0,0,,taxable,,General Health,CAREFREE BREATHABLE ALOE LINERS 20. A health and wellbeing product.,No regulation
simple,5010441016350,Numark Ultra Soft tissues 90 Pack,0,0,0,,taxable,,General Health,Numark Ultra Soft tissues 90 Pack. A health and wellbeing product. Supplied as 90 Pack.,No regulation
simple,4001638579926,PomegranateRegeneratingBodyButterNEWQ4,0,0,0,,taxable,,Beauty,PomegranateRegeneratingBodyButterNEWQ4. A health and beauty product.,No regulation
simple,5011417890431,Gaviscon Double Action Mixed 48 Tablets,0,0,0,,taxable,,Digestive,"Gaviscon Double Action Mixed 48 Tablets. Always read the label and any leaflet supplied. If symptoms persist, speak to your pharmacist or doctor. Supplied as 48 Tablets.",GSL
